Episode,Agent,Action,Observation,Reward,Done
0,adversary_0,3.0,"[ 0.          0.         -0.0339242   0.7714508  -0.29334933 -0.05007639
 -0.261525   -0.27313727  0.29695773 -0.5467587  -0.8073953   0.1396126
 -0.34615242 -1.3758193 ]",0.0,False
0,adversary_1,3.0,"[ 0.          0.          0.26303354  0.22469208 -0.59030706  0.49668235
 -0.55848277  0.27362147 -0.29695773  0.5467587  -1.1043531   0.6863713
 -0.64311016 -0.8290606 ]",0.0,False
0,adversary_2,3.0,"[ 0.          0.         -0.8413195   0.91106343  0.51404595 -0.189689
  0.54587024 -0.4127499   0.8073953  -0.1396126   1.1043531  -0.6863713
  0.46124285 -1.515432  ]",0.0,False
0,agent_0,0.0,"[ 0.          0.         -0.38007662 -0.60436857  0.05280311  1.325743
  0.08462741  1.1026821   0.34615242  1.3758193   0.64311016  0.8290606
 -0.46124285  1.515432  ]",0.0,False
0,adversary_0,3.0,"[ 1.5199885e-12 -3.0000001e-01 -3.3924200e-02  7.7145082e-01
 -2.9334933e-01 -5.0076388e-02 -2.6152501e-01 -2.7313727e-01
  2.9695773e-01 -5.4675871e-01 -8.0739528e-01  1.3961260e-01
 -3.4615242e-01 -1.3758193e+00]",0.0,False
0,adversary_1,3.0,"[ 0.         -0.3         0.26303354  0.22469208 -0.59030706  0.49668235
 -0.55848277  0.27362147 -0.29695773  0.5467587  -1.1043531   0.6863713
 -0.64311016 -0.8290606 ]",0.0,False
0,adversary_2,3.0,"[-0.         -0.3        -0.8413195   0.91106343  0.51404595 -0.189689
  0.54587024 -0.4127499   0.8073953  -0.1396126   1.1043531  -0.6863713
  0.46124285 -1.515432  ]",0.0,False
0,agent_0,0.0,"[ 0.          0.         -0.38007662 -0.60436857  0.05280311  1.325743
  0.08462741  1.1026821   0.34615242  1.3758193   0.64311016  0.8290606
 -0.46124285  1.515432  ]",0.0,False
0,adversary_0,0.0,"[ 2.6599799e-12 -5.2499998e-01 -3.3924200e-02  7.4145079e-01
 -2.9334933e-01 -2.0076387e-02 -2.6152501e-01 -2.4313727e-01
  2.9695773e-01 -5.4675871e-01 -8.0739528e-01  1.3961260e-01
 -3.4615242e-01 -1.3458194e+00]",0.0,False
0,adversary_1,3.0,"[ 0.         -0.525       0.26303354  0.19469208 -0.59030706  0.5266824
 -0.55848277  0.30362147 -0.29695773  0.5467587  -1.1043531   0.6863713
 -0.64311016 -0.79906064]",0.0,False
0,adversary_2,3.0,"[-0.         -0.525      -0.8413195   0.8810634   0.51404595 -0.159689
  0.54587024 -0.3827499   0.8073953  -0.1396126   1.1043531  -0.6863713
  0.46124285 -1.485432  ]",0.0,False
0,agent_0,0.0,"[ 0.          0.         -0.38007662 -0.60436857  0.05280311  1.325743
  0.08462741  1.1026821   0.34615242  1.3458194   0.64311016  0.79906064
 -0.46124285  1.485432  ]",0.0,False
0,adversary_0,0.0,"[ 5.5941921e-11 -3.9375001e-01 -3.3924200e-02  6.8895084e-01
 -2.9334933e-01  3.2423615e-02 -2.6152501e-01 -1.9063728e-01
  2.9695773e-01 -5.4675871e-01 -8.0739528e-01  1.3961260e-01
 -3.4615242e-01 -1.2933193e+00]",0.0,False
0,adversary_1,3.0,"[ 0.         -0.69375     0.26303354  0.14219208 -0.59030706  0.5791823
 -0.55848277  0.35612145 -0.29695773  0.5467587  -1.1043531   0.6863713
 -0.64311016 -0.74656063]",0.0,False
0,adversary_2,1.0,"[-0.         -0.69375    -0.8413195   0.8285634   0.51404595 -0.10718899
  0.54587024 -0.33024988  0.8073953  -0.1396126   1.1043531  -0.6863713
  0.46124285 -1.432932  ]",0.0,False
0,agent_0,0.0,"[ 0.          0.         -0.38007662 -0.60436857  0.05280311  1.325743
  0.08462741  1.1026821   0.34615242  1.2933193   0.64311016  0.74656063
 -0.46124285  1.432932  ]",0.0,False
0,adversary_0,3.0,"[ 5.9842589e-11 -2.9531249e-01 -3.3924200e-02  6.4957583e-01
 -2.9334933e-01  7.1798615e-02 -2.6152501e-01 -1.5126227e-01
  2.9695773e-01 -5.7675874e-01 -8.0739528e-01  1.0961261e-01
 -3.4615242e-01 -1.2539444e+00]",0.0,False
0,adversary_1,3.0,"[ 0.         -0.8203125   0.26303354  0.07281707 -0.59030706  0.64855736
 -0.55848277  0.42549646 -0.29695773  0.57675874 -1.1043531   0.6863713
 -0.64311016 -0.67718565]",0.0,False
0,adversary_2,3.0,"[-0.3        -0.5203125  -0.8413195   0.7591884   0.51404595 -0.037814
  0.54587024 -0.26087487  0.8073953  -0.10961261  1.1043531  -0.6863713
  0.46124285 -1.363557  ]",0.0,False
0,agent_0,0.0,"[ 0.          0.         -0.38007662 -0.60436857  0.05280311  1.325743
  0.08462741  1.1026821   0.34615242  1.2539444   0.64311016  0.67718565
 -0.46124285  1.363557  ]",0.0,False
0,adversary_0,0.0,"[ 4.4914506e-11 -5.2148438e-01 -3.3924200e-02  6.2004459e-01
 -2.9334933e-01  1.0132986e-01 -2.6152501e-01 -1.2173102e-01
  2.9695773e-01 -6.2925875e-01 -8.3739525e-01  8.7112606e-02
 -3.4615242e-01 -1.2244132e+00]",0.0,False
0,adversary_1,3.0,"[ 0.         -0.9152344   0.26303354 -0.00921418 -0.59030706  0.7305886
 -0.55848277  0.5075277  -0.29695773  0.62925875 -1.134353    0.71637136
 -0.64311016 -0.5951544 ]",0.0,False
0,adversary_2,1.0,"[-0.225      -0.69023436 -0.8713195   0.7071572   0.544046    0.01421726
  0.5758703  -0.20884363  0.83739525 -0.08711261  1.134353   -0.71637136
  0.49124286 -1.3115257 ]",0.0,False
0,agent_0,0.0,"[ 0.          0.         -0.38007662 -0.60436857  0.05280311  1.325743
  0.08462741  1.1026821   0.34615242  1.2244132   0.64311016  0.5951544
 -0.49124286  1.3115257 ]",0.0,False
0,adversary_0,3.0,"[ 1.2867295e-08 -3.9111328e-01 -3.3924200e-02  5.6789613e-01
 -2.9334933e-01  1.5347829e-01 -2.6152501e-01 -6.9582589e-02
  2.9695773e-01 -6.6863376e-01 -8.5989529e-01  7.0237607e-02
 -3.4615242e-01 -1.1722647e+00]",0.0,False
0,adversary_1,3.0,"[ 0.         -0.98642576  0.26303354 -0.10073762 -0.59030706  0.822112
 -0.55848277  0.5990512  -0.29695773  0.66863376 -1.156853    0.73887134
 -0.64311016 -0.50363094]",0.0,False
0,adversary_2,3.0,"[-0.46875    -0.51767576 -0.89381945  0.6381337   0.56654596  0.0832407
  0.59837025 -0.13982019  0.8598953  -0.07023761  1.156853   -0.73887134
  0.51374286 -1.2425023 ]",0.0,False
