Episode,Agent,Action,Observation,Reward,Done
0,adversary_0,0.0,"[ 0.          0.          0.61000586  0.61588156 -1.4222419   0.28263542
 -0.33574146 -1.0937632  -0.5793547  -1.0442789  -1.5021445  -0.8491438
 -0.7930594  -1.5253311 ]",0.0,False
0,adversary_1,4.0,"[ 0.          0.          0.03065112 -0.42839724 -0.8428872   1.3269142
  0.24361327 -0.0494844   0.5793547   1.0442789  -0.9227897   0.195135
 -0.2137047  -0.48105237]",0.0,False
0,adversary_2,3.0,"[ 0.          0.         -0.8921386  -0.23326224  0.07990248  1.1317792
  1.166403   -0.2446194   1.5021445   0.8491438   0.9227897  -0.195135
  0.709085   -0.6761874 ]",0.0,False
0,agent_0,4.0,"[ 0.          0.         -0.18305358 -0.90944964 -0.6291825   1.8079666
  0.45731798  0.43156797  0.7930594   1.5253311   0.2137047   0.48105237
 -0.709085    0.6761874 ]",0.0,False
0,adversary_0,0.0,"[ 0.          0.          0.61000586  0.61588156 -1.4222419   0.28263542
 -0.33574146 -1.0937632  -0.5793547  -1.0442789  -1.5021445  -0.8491438
 -0.7930594  -1.5253311 ]",0.0,False
0,adversary_1,4.0,"[-0.25883138  0.3525756   0.03065112 -0.42839724 -0.8428872   1.3269142
  0.24361327 -0.0494844   0.5793547   1.0442789  -0.9227897   0.195135
 -0.2137047  -0.48105237]",0.0,False
0,adversary_2,3.0,"[ 0.         -0.3        -0.8921386  -0.23326224  0.07990248  1.1317792
  1.166403   -0.2446194   1.5021445   0.8491438   0.9227897  -0.195135
  0.709085   -0.6761874 ]",0.0,False
0,agent_0,4.0,"[-0.          0.4        -0.18305358 -0.90944964 -0.6291825   1.8079666
  0.45731798  0.43156797  0.7930594   1.5253311   0.2137047   0.48105237
 -0.709085    0.6761874 ]",-0.09449612195109647,False
0,adversary_0,0.0,"[ 0.          0.          0.61000586  0.61588156 -1.4222419   0.28263542
 -0.33574146 -1.0937632  -0.60523784 -1.0090213  -1.5021445  -0.87914383
 -0.7930594  -1.4853312 ]",0.0,False
0,adversary_1,4.0,"[-0.4529549   0.6170073   0.00476799 -0.3931397  -0.8170041   1.2916567
  0.2694964  -0.08474196  0.60523784  1.0090213  -0.89690655  0.12987745
 -0.18782157 -0.47630993]",0.0,False
0,adversary_2,3.0,"[ 0.         -0.525      -0.8921386  -0.26326224  0.07990248  1.1617793
  1.166403   -0.2146194   1.5021445   0.87914383  0.89690655 -0.12987745
  0.709085   -0.6061874 ]",0.0,False
0,agent_0,4.0,"[-0.          0.7        -0.18305358 -0.8694496  -0.6291825   1.7679666
  0.45731798  0.39156798  0.7930594   1.4853312   0.18782157  0.47630993
 -0.709085    0.6061874 ]",0.0,False
0,adversary_0,0.0,"[ 0.          0.          0.61000586  0.61588156 -1.4222419   0.28263542
 -0.33574146 -1.0937632  -0.6505334  -0.9473205  -1.5021445  -0.93164384
 -0.7930594  -1.4153312 ]",0.0,False
0,adversary_1,4.0,"[-0.3397214   0.7627571  -0.0405275  -0.33143896 -0.7717086   1.2299559
  0.31479192 -0.14644268  0.6505334   0.9473205  -0.8516111   0.01567671
 -0.14252609 -0.46801066]",0.0,False
0,adversary_2,3.0,"[ 0.         -0.69375    -0.8921386  -0.31576225  0.07990248  1.2142793
  1.166403   -0.1621194   1.5021445   0.93164384  0.8516111  -0.01567671
  0.709085   -0.48368737]",0.0,False
0,agent_0,4.0,"[-0.          0.925      -0.18305358 -0.7994496  -0.6291825   1.6979666
  0.45731798  0.32156798  0.7930594   1.4153312   0.14252609  0.46801066
 -0.709085    0.48368737]",0.0,False
0,adversary_0,0.0,"[ 0.          0.          0.61000586  0.61588156 -1.4222419   0.28263542
 -0.33574146 -1.0937632  -0.6845055  -0.8710448  -1.5021445  -1.0010188
 -0.7930594  -1.3228312 ]",0.0,False
0,adversary_1,4.0,"[-0.25479105  0.87206787 -0.07449964 -0.25516322 -0.73773646  1.1536802
  0.34876406 -0.2227184   0.6845055   0.8710448  -0.81763893 -0.12997401
 -0.10855395 -0.45178637]",0.0,False
0,adversary_2,3.0,"[-0.         -0.8203125  -0.8921386  -0.38513723  0.07990248  1.2836542
  1.166403   -0.0927444   1.5021445   1.0010188   0.81763893  0.12997401
  0.709085   -0.32181236]",0.0,False
