episode,observation,action,reward,next_observation,done,step_duration,agent
1,"[ 0.          0.         -0.3317782   0.4894444  -0.0525095  -0.70084023
  0.38391387 -1.0162317  -0.49232957 -0.47276726 -0.55826473 -0.6390206
 -0.17784476  0.21177956  0.          0.        ]",0,0.0,"[ 0.          0.         -0.82410777  0.01667715  0.43982008 -0.22807296
  0.8762435  -0.5434644   0.49232957  0.47276726 -0.06593518 -0.16625333
  0.31448483  0.6845468   0.          0.        ]",False,0.00037097930908203125,adversary_0
1,"[ 0.         -0.         -0.3317782   0.4894444  -0.0525095  -0.70084023
  0.38391387 -1.0162317  -0.49232957 -0.47276726 -0.55826473 -0.6390206
 -0.17784476  0.21177956  0.4         0.        ]",1,0.0,"[ 1.0886116e-15 -3.0000001e-01 -8.2410777e-01  1.6677147e-02
  4.3982008e-01 -2.2807296e-01  8.7624347e-01 -5.4346442e-01
  4.9232957e-01  4.7276726e-01 -6.5935180e-02 -1.6625333e-01
  3.1448483e-01  6.8454683e-01  4.0000001e-01  0.0000000e+00]",False,0.0002980232238769531,adversary_0
1,"[-0.3        -0.         -0.3317782   0.4894444  -0.0525095  -0.70084023
  0.38391387 -1.0162317  -0.49232957 -0.50276726 -0.55826473 -0.6390206
 -0.13784476  0.21177956 -0.1         0.        ]",1,0.0,"[ 1.9050703e-15 -2.2499999e-01 -8.2410777e-01 -1.3322853e-02
  4.3982008e-01 -1.9807296e-01  8.7624347e-01 -5.1346439e-01
  4.9232957e-01  5.0276726e-01 -6.5935180e-02 -1.3625333e-01
  3.5448483e-01  7.1454686e-01 -1.0000000e-01  0.0000000e+00]",False,0.00028395652770996094,adversary_0
1,"[-0.525      -0.         -0.3617782   0.4894444  -0.0225095  -0.70084023
  0.41391388 -1.0162317  -0.46232957 -0.52526724 -0.55826473 -0.6390206
 -0.11784476  0.21177956 -0.475       0.        ]",4,0.0,"[ 0.00098763  0.1332909  -0.82410777 -0.03582285  0.43982008 -0.17557296
  0.8762435  -0.4909644   0.46232957  0.52526724 -0.09593518 -0.11375333
  0.34448484  0.73704684 -0.475       0.        ]",False,0.0002849102020263672,adversary_0
1,"[-0.39375     0.3        -0.4142782   0.4894444   0.0299905  -0.70084023
  0.4664139  -1.0162317  -0.40973082 -0.51193815 -0.5283635  -0.6692247
 -0.11284476  0.21177956  0.04375     0.        ]",0,0.0,"[ 0.01014222 -0.18888417 -0.824009   -0.02249376  0.43972132 -0.18890205
  0.8761447  -0.5042935   0.40973082  0.51193815 -0.1186327  -0.15728651
  0.29688606  0.72371775  0.04375     0.        ]",False,0.0003657341003417969,adversary_0
1,"[-0.2953125   0.225      -0.45365322  0.5194444   0.0693655  -0.7308402
  0.50578886 -1.0462316  -0.36934158 -0.5608266  -0.5068777  -0.72299254
 -0.06909475  0.18177956  0.4328125   0.        ]",1,0.0,"[ 0.00760667  0.15833688 -0.8229948  -0.04138218  0.43870708 -0.17001364
  0.8751305  -0.4854051   0.36934158  0.5608266  -0.13753615 -0.16216592
  0.30024683  0.74260616  0.4328125   0.        ]",False,0.0002989768981933594,adversary_0
1,"[-0.5214844   0.16875    -0.48318446  0.54194444  0.09889675 -0.75334024
  0.5353201  -1.0687317  -0.33904967 -0.5674929  -0.46076342 -0.7633184
  0.00371774  0.15927956  0.32460937  0.4       ]",4,0.0,"[-0.294295    0.11875266 -0.82223415 -0.02554849  0.43794644 -0.18584733
  0.8743698  -0.50123876  0.33904967  0.5674929  -0.12171374 -0.19582549
  0.34276742  0.7267725   0.32460937  0.4       ]",False,0.0002827644348144531,adversary_0
1,"[-0.39111328  0.4265625  -0.5353329   0.5588194   0.15104519 -0.7702152
  0.58746856 -1.0856067  -0.31633073 -0.57249266 -0.36617765 -0.7935628
  0.08832712  0.18240456 -0.15654297  0.3       ]",0,0.0,"[ 0.07927875  0.08906449 -0.85166365 -0.01367322  0.46737593 -0.19772258
  0.9037993  -0.51311404  0.31633073  0.57249266 -0.04984692 -0.22107016
  0.40465787  0.7548972  -0.15654297  0.3       ]",False,0.0002779960632324219,adversary_0
1,"[-0.29333496  0.31992188 -0.57444423  0.60147566  0.19015652 -0.81287146
  0.6265799  -1.1282629  -0.26929155 -0.6062424  -0.32523835 -0.8462461
  0.11178415  0.1697483  -0.51740724  0.225     ]",2,0.0,"[ 0.05945906  0.36679837 -0.84373575 -0.00476678  0.45944804 -0.20662904
  0.89587146 -0.52202046  0.26929155  0.6062424  -0.05594681 -0.24000366
  0.38107568  0.7759907  -0.51740724  0.225     ]",False,0.0002837181091308594,adversary_0
1,"[ 0.07999878  0.2399414  -0.6037777   0.63346785  0.21949    -0.84486365
  0.6559134  -1.1602551  -0.23401214 -0.6015548  -0.32453385 -0.8857586
  0.08937692  0.16025612 -0.3880554  -0.23125   ]",0,0.0,"[ 0.3445943   0.27509877 -0.83778983  0.03191306  0.45350215 -0.24330887
  0.88992554 -0.5587003   0.23401214  0.6015548  -0.09052173 -0.2842038
  0.32338905  0.7618109  -0.3880554  -0.23125   ]",False,0.0002808570861816406,adversary_0
