Episode,Agent,Mode,Action,Observation,Next Observation,Reward,Total Reward,Cooperative Reward,Done
1,adversary_0,cooperative,3.0,"[ 0.          0.          0.5479121  -0.12224312 -1.2173076   0.03293781
 -0.7804757   0.8904201   0.16928375  0.51697916 -1.3595574   1.0734879
 -0.02563269  0.69437176  0.          0.        ]","[ 0.          0.          0.71719587  0.39473605 -1.3865913  -0.48404136
 -0.9497594   0.37344092 -0.16928375 -0.51697916 -1.5288411   0.55650866
 -0.19491644  0.17739256  0.          0.        ]",0.0,0.0,0.0,False
1,adversary_1,cooperative,3.0,"[ 0.          0.          0.71719587  0.39473605 -1.3865913  -0.48404136
 -0.9497594   0.37344092 -0.16928375 -0.51697916 -1.5288411   0.55650866
 -0.19491644  0.17739256  0.          0.        ]","[ 0.          0.         -0.8116453   0.9512447   0.14224984 -1.04055
  0.5790818  -0.18306772  1.3595574  -1.0734879   1.5288411  -0.55650866
  1.3339247  -0.3791161   0.          0.        ]",0.0,0.0,0.0,False
1,adversary_2,cooperative,1.0,"[ 0.          0.         -0.8116453   0.9512447   0.14224984 -1.04055
  0.5790818  -0.18306772  1.3595574  -1.0734879   1.5288411  -0.55650866
  1.3339247  -0.3791161   0.          0.        ]","[ 0.          0.          0.5222794   0.5721286  -1.1916748  -0.66143394
 -0.75484294  0.19604836  0.02563269 -0.69437176  0.19491644 -0.17739256
 -1.3339247   0.3791161 ]",0.0,0.0,0.0,False
1,agent_0,cooperative,4.0,"[ 0.          0.          0.5222794   0.5721286  -1.1916748  -0.66143394
 -0.75484294  0.19604836  0.02563269 -0.69437176  0.19491644 -0.17739256
 -1.3339247   0.3791161 ]","[-0.         -0.3         0.5479121  -0.12224312 -1.2173076   0.03293781
 -0.7804757   0.8904201   0.16928375  0.51697916 -1.3595574   1.0734879
 -0.02563269  0.69437176 -0.          0.4       ]",0.0,0.0,0.0,False
1,adversary_0,cooperative,2.0,"[-0.         -0.3         0.5479121  -0.12224312 -1.2173076   0.03293781
 -0.7804757   0.8904201   0.16928375  0.51697916 -1.3595574   1.0734879
 -0.02563269  0.69437176 -0.          0.4       ]","[ 0.         -0.3         0.71719587  0.39473605 -1.3865913  -0.48404136
 -0.9497594   0.37344092 -0.16928375 -0.51697916 -1.5288411   0.55650866
 -0.19491644  0.17739256 -0.          0.4       ]",0.0,0.0,0.0,False
1,adversary_1,cooperative,4.0,"[ 0.         -0.3         0.71719587  0.39473605 -1.3865913  -0.48404136
 -0.9497594   0.37344092 -0.16928375 -0.51697916 -1.5288411   0.55650866
 -0.19491644  0.17739256 -0.          0.4       ]","[-0.3         0.         -0.8116453   0.9512447   0.14224984 -1.04055
  0.5790818  -0.18306772  1.3595574  -1.0734879   1.5288411  -0.55650866
  1.3339247  -0.3791161  -0.          0.4       ]",0.0,0.0,0.0,False
1,adversary_2,cooperative,3.0,"[-0.3         0.         -0.8116453   0.9512447   0.14224984 -1.04055
  0.5790818  -0.18306772  1.3595574  -1.0734879   1.5288411  -0.55650866
  1.3339247  -0.3791161  -0.          0.4       ]","[-0.          0.4         0.5222794   0.5721286  -1.1916748  -0.66143394
 -0.75484294  0.19604836  0.02563269 -0.69437176  0.19491644 -0.17739256
 -1.3339247   0.3791161 ]",0.0,0.0,0.0,False
1,agent_0,cooperative,2.0,"[-0.          0.4         0.5222794   0.5721286  -1.1916748  -0.66143394
 -0.75484294  0.19604836  0.02563269 -0.69437176  0.19491644 -0.17739256
 -1.3339247   0.3791161 ]","[ 0.3        -0.225       0.5479121  -0.15224312 -1.2173076   0.06293781
 -0.7804757   0.9204201   0.16928375  0.51697916 -1.3895574   1.1034878
 -0.02563269  0.76437175  0.4         0.3       ]",0.0,0.0,0.0,False
1,adversary_0,cooperative,4.0,"[ 0.3        -0.225       0.5479121  -0.15224312 -1.2173076   0.06293781
 -0.7804757   0.9204201   0.16928375  0.51697916 -1.3895574   1.1034878
 -0.02563269  0.76437175  0.4         0.3       ]","[ 0.          0.075       0.71719587  0.36473605 -1.3865913  -0.45404136
 -0.9497594   0.40344092 -0.16928375 -0.51697916 -1.5588411   0.58650863
 -0.19491644  0.24739255  0.4         0.3       ]",0.0,0.0,0.0,False
1,adversary_1,cooperative,3.0,"[ 0.          0.075       0.71719587  0.36473605 -1.3865913  -0.45404136
 -0.9497594   0.40344092 -0.16928375 -0.51697916 -1.5588411   0.58650863
 -0.19491644  0.24739255  0.4         0.3       ]","[-0.225      -0.3        -0.8416453   0.9512447   0.17224984 -1.04055
  0.60908175 -0.18306772  1.3895574  -1.1034878   1.5588411  -0.58650863
  1.3639247  -0.3391161   0.4         0.3       ]",0.0,0.0,0.0,False
1,adversary_2,cooperative,1.0,"[-0.225      -0.3        -0.8416453   0.9512447   0.17224984 -1.04055
  0.60908175 -0.18306772  1.3895574  -1.1034878   1.5588411  -0.58650863
  1.3639247  -0.3391161   0.4         0.3       ]","[ 0.4         0.3         0.5222794   0.6121286  -1.1916748  -0.7014339
 -0.75484294  0.15604837  0.02563269 -0.76437175  0.19491644 -0.24739255
 -1.3639247   0.3391161 ]",0.0,0.0,0.0,False
1,agent_0,cooperative,4.0,"[ 0.4         0.3         0.5222794   0.6121286  -1.1916748  -0.7014339
 -0.75484294  0.15604837  0.02563269 -0.76437175  0.19491644 -0.24739255
 -1.3639247   0.3391161 ]","[ 0.225       0.13125     0.5779121  -0.17474312 -1.2473075   0.08543781
 -0.81047565  0.9429201   0.13928375  0.5469792  -1.4420574   1.0959878
 -0.01563269  0.8168717   0.3         0.625     ]",0.0,0.0,0.0,False
1,adversary_0,cooperative,4.0,"[ 0.225       0.13125     0.5779121  -0.17474312 -1.2473075   0.08543781
 -0.81047565  0.9429201   0.13928375  0.5469792  -1.4420574   1.0959878
 -0.01563269  0.8168717   0.3         0.625     ]","[ 0.         -0.24375     0.71719587  0.37223607 -1.3865913  -0.46154138
 -0.9497594   0.39594093 -0.13928375 -0.5469792  -1.5813411   0.54900867
 -0.15491644  0.26989254  0.3         0.625     ]",0.0,0.0,0.0,False
1,adversary_1,cooperative,2.0,"[ 0.         -0.24375     0.71719587  0.37223607 -1.3865913  -0.46154138
 -0.9497594   0.39594093 -0.13928375 -0.5469792  -1.5813411   0.54900867
 -0.15491644  0.26989254  0.3         0.625     ]","[-0.46875    -0.225      -0.8641453   0.9212447   0.19474985 -1.01055
  0.6315817  -0.15306772  1.4420574  -1.0959878   1.5813411  -0.54900867
  1.4264247  -0.2791161   0.3         0.625     ]",0.0,0.0,0.0,False
1,adversary_2,cooperative,4.0,"[-0.46875    -0.225      -0.8641453   0.9212447   0.19474985 -1.01055
  0.6315817  -0.15306772  1.4420574  -1.0959878   1.5813411  -0.54900867
  1.4264247  -0.2791161   0.3         0.625     ]","[ 0.3         0.625       0.5622794   0.6421286  -1.2316749  -0.7314339
 -0.79484296  0.12604837  0.01563269 -0.8168717   0.15491644 -0.26989254
 -1.4264247   0.2791161 ]",0.0,0.0,0.0,False
1,agent_0,cooperative,2.0,"[ 0.3         0.625       0.5622794   0.6421286  -1.2316749  -0.7314339
 -0.79484296  0.12604837  0.01563269 -0.8168717   0.15491644 -0.26989254
 -1.4264247   0.2791161 ]","[ 0.16875     0.3984375   0.6004121  -0.16161811 -1.2698076   0.07231281
 -0.8329756   0.9297951   0.11678375  0.50947917 -1.5114324   1.0603628
 -0.00813269  0.86624676  0.625       0.46875   ]",0.0,0.0,0.0,False
1,adversary_0,cooperative,0.0,"[ 0.16875     0.3984375   0.6004121  -0.16161811 -1.2698076   0.07231281
 -0.8329756   0.9297951   0.11678375  0.50947917 -1.5114324   1.0603628
 -0.00813269  0.86624676  0.625       0.46875   ]","[ 0.3        -0.1828125   0.71719587  0.34786105 -1.3865913  -0.43716636
 -0.9497594   0.42031592 -0.11678375 -0.50947917 -1.6282161   0.55088365
 -0.12491643  0.35676757  0.625       0.46875   ]",0.0,0.0,0.0,False
1,adversary_1,cooperative,3.0,"[ 0.3        -0.1828125   0.71719587  0.34786105 -1.3865913  -0.43716636
 -0.9497594   0.42031592 -0.11678375 -0.50947917 -1.6282161   0.55088365
 -0.12491643  0.35676757  0.625       0.46875   ]","[-0.3515625   0.13125    -0.9110203   0.8987447   0.24162485 -0.98805004
  0.6784567  -0.13056773  1.5114324  -1.0603628   1.6282161  -0.55088365
  1.5032997  -0.19411609  0.625       0.46875   ]",0.0,0.0,0.0,False
1,adversary_2,cooperative,4.0,"[-0.3515625   0.13125    -0.9110203   0.8987447   0.24162485 -0.98805004
  0.6784567  -0.13056773  1.5114324  -1.0603628   1.6282161  -0.55088365
  1.5032997  -0.19411609  0.625       0.46875   ]","[ 0.625       0.46875     0.5922794   0.7046286  -1.2616749  -0.7939339
 -0.824843    0.06354837  0.00813269 -0.86624676  0.12491643 -0.35676757
 -1.5032997   0.19411609]",0.0,0.0,0.0,False
1,agent_0,cooperative,4.0,"[ 0.625       0.46875     0.5922794   0.7046286  -1.2616749  -0.7939339
 -0.824843    0.06354837  0.00813269 -0.86624676  0.12491643 -0.35676757
 -1.5032997   0.19411609]","[ 0.1265625   0.29882812  0.6172871  -0.12177437 -1.2866826   0.03246906
 -0.84985065  0.88995135  0.12990874  0.45135418 -1.5634637   1.0336441
  0.03749231  0.87327796  0.46875     0.7515625 ]",0.0,0.0,0.0,False
1,adversary_0,cooperative,2.0,"[ 0.1265625   0.29882812  0.6172871  -0.12177437 -1.2866826   0.03246906
 -0.84985065  0.88995135  0.12990874  0.45135418 -1.5634637   1.0336441
  0.03749231  0.87327796  0.46875     0.7515625 ]","[ 0.225      -0.43710938  0.74719584  0.3295798  -1.4165913  -0.4188851
 -0.9797594   0.43859717 -0.12990874 -0.45135418 -1.6933724   0.5822899
 -0.09241644  0.42192382  0.46875     0.7515625 ]",0.0,0.0,0.0,False
1,adversary_1,cooperative,2.0,"[ 0.225      -0.43710938  0.74719584  0.3295798  -1.4165913  -0.4188851
 -0.9797594   0.43859717 -0.12990874 -0.45135418 -1.6933724   0.5822899
 -0.09241644  0.42192382  0.46875     0.7515625 ]","[-0.26367188  0.3984375  -0.9461765   0.9118697   0.27678108 -1.001175
  0.713613   -0.14369272  1.5634637  -1.0336441   1.6933724  -0.5822899
  1.600956   -0.16036609  0.46875     0.7515625 ]",0.0,0.0,0.0,False
1,adversary_2,cooperative,0.0,"[-0.26367188  0.3984375  -0.9461765   0.9118697   0.27678108 -1.001175
  0.713613   -0.14369272  1.5634637  -1.0336441   1.6933724  -0.5822899
  1.600956   -0.16036609  0.46875     0.7515625 ]","[ 0.46875     0.7515625   0.6547794   0.7515036  -1.3241749  -0.8408089
 -0.887343    0.01667337 -0.03749231 -0.87327796  0.09241644 -0.42192382
 -1.600956    0.16036609]",0.0,0.0,0.0,False
1,agent_0,cooperative,0.0,"[ 0.46875     0.7515625   0.6547794   0.7515036  -1.3241749  -0.8408089
 -0.887343    0.01667337 -0.03749231 -0.87327796  0.09241644 -0.42192382
 -1.600956    0.16036609]","[ 0.39492187  0.2241211   0.6299434  -0.09189156 -1.2993388   0.00258625
 -0.8625069   0.86006856  0.13975249  0.37776044 -1.6024871   1.043605
  0.07171106  0.91855145  0.3515625   0.5636719 ]",0.0,0.0,0.0,False
1,adversary_0,cooperative,2.0,"[ 0.39492187  0.2241211   0.6299434  -0.09189156 -1.2993388   0.00258625
 -0.8625069   0.86006856  0.13975249  0.37776044 -1.6024871   1.043605
  0.07171106  0.91855145  0.3515625   0.5636719 ]","[ 0.46875    -0.32783204  0.7696958   0.28586888 -1.4390913  -0.3751742
 -1.0022594   0.48230812 -0.13975249 -0.37776044 -1.7422396   0.66584456
 -0.06804144  0.540791    0.3515625   0.5636719 ]",0.0,0.0,0.0,False
1,adversary_1,cooperative,3.0,"[ 0.46875    -0.32783204  0.7696958   0.28586888 -1.4390913  -0.3751742
 -1.0022594   0.48230812 -0.13975249 -0.37776044 -1.7422396   0.66584456
 -0.06804144  0.540791    0.3515625   0.5636719 ]","[-0.1977539   0.29882812 -0.9725437   0.95171344  0.30314827 -1.0410187
  0.73998016 -0.18353647  1.6024871  -1.043605    1.7422396  -0.66584456
  1.6741982  -0.1250536   0.3515625   0.5636719 ]",0.0,0.0,0.0,False
1,adversary_2,cooperative,3.0,"[-0.1977539   0.29882812 -0.9725437   0.95171344  0.30314827 -1.0410187
  0.73998016 -0.18353647  1.6024871  -1.043605    1.7422396  -0.66584456
  1.6741982  -0.1250536   0.3515625   0.5636719 ]","[ 0.3515625   0.5636719   0.7016544   0.82665986 -1.3710499  -0.9159652
 -0.934218   -0.05848288 -0.07171106 -0.91855145  0.06804144 -0.540791
 -1.6741982   0.1250536 ]",0.0,0.0,0.0,False
1,agent_0,cooperative,4.0,"[ 0.3515625   0.5636719   0.7016544   0.82665986 -1.3710499  -0.9159652
 -0.934218   -0.05848288 -0.07171106 -0.91855145  0.06804144 -0.540791
 -1.6741982   0.1250536 ]","[ 0.5961914   0.16809082  0.66943556 -0.06947945 -1.338831   -0.01982586
 -0.9019991   0.83765644  0.1471353   0.3225651  -1.6617546   1.0510757
  0.06737512  0.9525065   0.26367188  0.8227539 ]",0.0,0.0,0.0,False
1,adversary_0,cooperative,0.0,"[ 0.5961914   0.16809082  0.66943556 -0.06947945 -1.338831   -0.01982586
 -0.9019991   0.83765644  0.1471353   0.3225651  -1.6617546   1.0510757
  0.06737512  0.9525065   0.26367188  0.8227539 ]","[ 0.3515625  -0.545874    0.8165708   0.25308567 -1.4859663  -0.34239098
 -1.0491344   0.5150913  -0.1471353  -0.3225651  -1.80889     0.7285106
 -0.07976019  0.6299414   0.26367188  0.8227539 ]",0.0,0.0,0.0,False
1,adversary_1,cooperative,1.0,"[ 0.3515625  -0.545874    0.8165708   0.25308567 -1.4859663  -0.34239098
 -1.0491344   0.5150913  -0.1471353  -0.3225651  -1.80889     0.7285106
 -0.07976019  0.6299414   0.26367188  0.8227539 ]","[-0.14831543 -0.0758789  -0.9923191   0.9815963   0.32292366 -1.0709016
  0.75975555 -0.21341929  1.6617546  -1.0510757   1.80889    -0.7285106
  1.7291298  -0.09856921  0.26367188  0.8227539 ]",0.0,0.0,0.0,False
1,adversary_2,cooperative,1.0,"[-0.14831543 -0.0758789  -0.9923191   0.9815963   0.32292366 -1.0709016
  0.75975555 -0.21341929  1.6617546  -1.0510757   1.80889    -0.7285106
  1.7291298  -0.09856921  0.26367188  0.8227539 ]","[ 0.26367188  0.8227539   0.7368106   0.8830271  -1.4062061  -0.97233236
 -0.96937424 -0.11485007 -0.06737512 -0.9525065   0.07976019 -0.6299414
 -1.7291298   0.09856921]",0.0,0.0,0.0,False
1,agent_0,cooperative,3.0,"[ 0.26367188  0.8227539   0.7368106   0.8830271  -1.4062061  -0.97233236
 -0.96937424 -0.11485007 -0.06737512 -0.9525065   0.07976019 -0.6299414
 -1.7291298   0.09856921]","[ 0.44714355  0.12606812  0.7290547  -0.05267037 -1.3984501  -0.03663494
 -0.96161824  0.82084733  0.12267242  0.25116864 -1.7362053   1.0266788
  0.03412317  1.0179728   0.1977539   0.21706542]",0.0,0.0,0.0,False
1,adversary_0,cooperative,3.0,"[ 0.44714355  0.12606812  0.7290547  -0.05267037 -1.3984501  -0.03663494
 -0.96161824  0.82084733  0.12267242  0.25116864 -1.7362053   1.0266788
  0.03412317  1.0179728   0.1977539   0.21706542]","[-0.03632813 -0.40940553  0.85172707  0.19849826 -1.5211226  -0.2878036
 -1.0842906   0.5696787  -0.12267242 -0.25116864 -1.8588778   0.77551013
 -0.08854925  0.76680416  0.1977539   0.21706542]",0.0,0.0,0.0,False
1,adversary_1,cooperative,3.0,"[-0.03632813 -0.40940553  0.85172707  0.19849826 -1.5211226  -0.2878036
 -1.0842906   0.5696787  -0.12267242 -0.25116864 -1.8588778   0.77551013
 -0.08854925  0.76680416  0.1977539   0.21706542]","[-0.41123658 -0.05690918 -1.0071507   0.9740084   0.3377552  -1.0633137
  0.7745871  -0.2058314   1.7362053  -1.0266788   1.8588778  -0.77551013
  1.7703285  -0.00870594  0.1977539   0.21706542]",0.0,0.0,0.0,False
1,adversary_2,cooperative,4.0,"[-0.41123658 -0.05690918 -1.0071507   0.9740084   0.3377552  -1.0633137
  0.7745871  -0.2058314   1.7362053  -1.0266788   1.8588778  -0.77551013
  1.7703285  -0.00870594  0.1977539   0.21706542]","[ 0.1977539   0.21706542  0.7631778   0.96530247 -1.4325733  -1.0546077
 -0.9957414  -0.19712546 -0.03412317 -1.0179728   0.08854925 -0.76680416
 -1.7703285   0.00870594]",-0.6530243867890773,-0.6530243867890773,-0.6530243867890773,False
1,agent_0,cooperative,2.0,"[ 0.1977539   0.21706542  0.7631778   0.96530247 -1.4325733  -1.0546077
 -0.9957414  -0.19712546 -0.03412317 -1.0179728   0.08854925 -0.76680416
 -1.7703285   0.00870594]","[ 0.33535767 -0.20544891  0.773769   -0.04006356 -1.4431645  -0.04924176
 -1.0063326   0.80824053  0.07432525  0.19762127 -1.8220434   1.008381
  0.0091842   1.0270725   0.5483154   0.16279908]",0.0,0.0,-0.6530243867890773,False
